Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,24.08.2018,FC Bayern München,TSG 1899 Hoffenheim,3,1,H,1,0,H,16,8,5,5,2,21,7,2,1,4,0,0
D1,25.08.2018,Fortuna Düsseldorf,FC Augsburg,1,2,A,1,0,H,9,14,5,7,11,10,7,5,1,0,0,0
D1,25.08.2018,SC Freiburg,Eintracht Frankfurt,0,2,A,0,1,A,22,10,6,2,7,12,6,4,1,2,0,0
D1,25.08.2018,Hertha BSC,1. FC Nürnberg,1,0,H,1,0,H,10,12,3,3,13,10,8,4,2,2,0,0
D1,25.08.2018,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,0,H,0,0,D,17,13,7,3,10,10,9,5,1,2,0,0
D1,25.08.2018,SV Werder Bremen,Hannover 96,1,1,D,0,0,D,15,13,3,4,5,6,4,3,0,0,0,0
D1,25.08.2018,VfL Wolfsburg,FC Schalke 04 04,2,1,H,1,0,H,11,9,7,4,16,11,7,2,5,3,0,1
D1,26.08.2018,Borussia Dortmund,RB Leipzig,4,1,H,3,1,H,10,10,5,7,8,11,7,9,2,2,0,0
D1,26.08.2018,1. FSV Mainz 05,VfB Stuttgart,1,0,H,0,0,D,8,12,3,3,15,6,6,3,1,2,0,0
D1,31.08.2018,Hannover 96,Borussia Dortmund,0,0,D,0,0,D,7,8,0,3,11,5,4,1,0,0,0,0
D1,1.09.2018,FC Augsburg,Borussia Mönchengladbach,1,1,D,1,0,H,18,7,7,2,12,12,9,4,1,2,0,0
D1,1.09.2018,Eintracht Frankfurt,SV Werder Bremen,1,2,A,0,1,A,5,11,1,6,6,11,8,3,1,2,1,0
D1,1.09.2018,TSG 1899 Hoffenheim,SC Freiburg,3,1,H,0,1,A,20,9,7,4,13,14,6,4,1,2,0,0
D1,1.09.2018,Bayer 04 Leverkusen,VfL Wolfsburg,1,3,A,1,1,D,16,12,3,5,13,13,5,3,3,3,0,0
D1,1.09.2018,1. FC Nürnberg,1. FSV Mainz 05,1,1,D,0,1,A,19,6,4,1,10,11,5,1,2,2,0,0
D1,1.09.2018,VfB Stuttgart,FC Bayern München,0,3,A,0,1,A,4,20,0,6,3,5,0,12,0,0,0,0
D1,2.09.2018,RB Leipzig,Fortuna Düsseldorf,1,1,D,0,0,D,23,14,7,8,11,15,3,3,1,4,0,0
D1,2.09.2018,FC Schalke 04 04,Hertha BSC,0,2,A,0,1,A,16,5,4,3,16,15,9,0,1,1,1,0
D1,14.09.2018,Borussia Dortmund,Eintracht Frankfurt,3,1,H,1,0,H,10,5,6,2,11,11,7,1,0,1,0,0
D1,15.09.2018,FC Bayern München,Bayer 04 Leverkusen,3,1,H,2,1,H,18,3,5,1,4,12,9,1,0,1,0,1
D1,15.09.2018,Fortuna Düsseldorf,TSG 1899 Hoffenheim,2,1,H,1,0,H,8,18,4,5,10,19,0,9,1,2,0,0
D1,15.09.2018,1. FSV Mainz 05,FC Augsburg,2,1,H,0,0,D,22,13,7,4,9,16,5,4,1,2,0,0
D1,15.09.2018,Borussia Mönchengladbach,FC Schalke 04 04,2,1,H,1,0,H,15,15,4,6,5,12,6,6,0,4,0,0
D1,15.09.2018,RB Leipzig,Hannover 96,3,2,H,2,1,H,15,16,6,8,12,12,4,12,4,4,0,0
D1,15.09.2018,VfL Wolfsburg,Hertha BSC,2,2,D,0,0,D,15,9,6,5,10,13,7,2,1,2,0,0
D1,16.09.2018,SC Freiburg,VfB Stuttgart,3,3,D,1,1,D,12,11,5,6,13,11,5,8,3,4,1,0
