Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
F1,10.08.2018,Olympique de Marseille,Toulouse Football Club,4,0,H,1,0,H,23,5,10,1,7,20,5,1,1,3,0,0
F1,11.08.2018,Angers SCO,Nîmes Olympique,3,4,A,1,1,D,21,14,7,5,20,12,5,1,2,2,0,1
F1,11.08.2018,LOSC Lille,Stade Rennais FC,3,1,H,1,1,D,15,8,6,2,12,13,2,6,1,0,0,0
F1,11.08.2018,Montpellier HSC,Dijon FCO,1,2,A,1,0,H,16,9,7,4,15,21,4,2,2,2,0,0
F1,11.08.2018,FC Nantes,AS Monaco,1,3,A,0,0,D,16,11,4,6,8,15,7,2,1,0,0,0
F1,11.08.2018,OGC Nice,Stade de Reims,0,1,A,0,1,A,19,5,1,3,13,14,10,2,1,2,0,0
F1,11.08.2018,AS Saint-Étienne,En Avant de Guingamp,2,1,H,1,0,H,11,11,6,5,14,11,6,9,3,1,0,0
F1,12.08.2018,FC Girondins de Bordeaux,RC Strasbourg Alsace,0,2,A,0,0,D,5,17,2,6,6,12,3,10,1,0,1,0
F1,12.08.2018,Olympique Lyonnais,Amiens SC,2,0,H,1,0,H,15,10,7,1,9,17,10,1,0,2,0,0
F1,12.08.2018,Paris Saint-Germain,Stade Malherbe Caen,3,0,H,2,0,H,11,5,8,1,13,7,6,3,1,0,0,0
F1,17.08.2018,Stade de Reims,Olympique Lyonnais,1,0,H,1,0,H,7,19,2,5,11,10,0,4,2,0,0,0
F1,18.08.2018,Amiens SC,Montpellier HSC,1,2,A,0,0,D,11,7,2,3,15,15,6,2,1,3,0,0
F1,18.08.2018,Stade Malherbe Caen,OGC Nice,1,1,D,0,0,D,13,16,4,5,22,11,5,10,2,2,0,0
F1,18.08.2018,Dijon FCO,FC Nantes,2,0,H,1,0,H,14,7,7,0,18,13,3,4,0,1,0,1
F1,18.08.2018,En Avant de Guingamp,Paris Saint-Germain,1,3,A,1,0,H,11,17,3,7,15,16,4,7,0,1,0,0
F1,18.08.2018,AS Monaco,LOSC Lille,0,0,D,0,0,D,10,13,1,4,10,14,8,4,0,0,0,0
F1,18.08.2018,Stade Rennais FC,Angers SCO,1,0,H,0,0,D,5,7,2,0,8,11,3,0,1,2,0,0
F1,19.08.2018,Nîmes Olympique,Olympique de Marseille,3,1,H,1,0,H,14,10,7,5,11,11,6,7,3,1,0,0
F1,19.08.2018,RC Strasbourg Alsace,AS Saint-Étienne,1,1,D,0,0,D,11,9,5,2,11,7,7,2,1,2,0,1
F1,19.08.2018,Toulouse Football Club,FC Girondins de Bordeaux,2,1,H,1,0,H,13,15,5,8,10,11,1,2,1,1,0,0
F1,24.08.2018,Olympique Lyonnais,RC Strasbourg Alsace,2,0,H,1,0,H,22,9,10,1,13,13,5,4,1,2,0,0
F1,25.08.2018,Amiens SC,Stade de Reims,4,1,H,1,0,H,14,7,8,3,18,17,4,2,1,1,0,1
F1,25.08.2018,Montpellier HSC,AS Saint-Étienne,0,0,D,0,0,D,14,9,1,2,12,14,6,3,3,0,0,0
F1,25.08.2018,FC Nantes,Stade Malherbe Caen,1,1,D,0,1,A,16,3,3,2,16,16,3,1,2,3,0,1
F1,25.08.2018,OGC Nice,Dijon FCO,0,4,A,0,0,D,16,9,3,5,11,19,5,3,2,3,0,0
F1,25.08.2018,Paris Saint-Germain,Angers SCO,3,1,H,1,1,D,13,11,5,6,10,2,9,1,2,0,0,0
F1,25.08.2018,Toulouse Football Club,Nîmes Olympique,1,0,H,0,0,D,10,9,5,0,17,21,3,3,1,3,0,0
F1,26.08.2018,FC Girondins de Bordeaux,AS Monaco,2,1,H,0,0,D,14,15,6,5,10,14,5,8,1,2,0,0
F1,26.08.2018,LOSC Lille,En Avant de Guingamp,3,0,H,2,0,H,13,13,7,4,13,13,4,4,2,1,0,1
F1,26.08.2018,Olympique de Marseille,Stade Rennais FC,2,2,D,0,2,A,8,7,3,2,16,15,8,4,1,1,0,0
F1,31.08.2018,Olympique Lyonnais,OGC Nice,0,1,A,0,0,D,29,8,9,1,6,14,10,5,0,2,0,0
F1,1.09.2018,Angers SCO,LOSC Lille,1,0,H,0,0,D,6,17,3,4,14,8,4,5,0,1,1,0
F1,1.09.2018,Dijon FCO,Stade Malherbe Caen,0,2,A,0,1,A,15,9,2,4,11,13,9,5,0,3,0,0
F1,1.09.2018,En Avant de Guingamp,Toulouse Football Club,1,2,A,1,2,A,23,5,5,4,12,13,11,4,3,2,0,1
F1,1.09.2018,Nîmes Olympique,Paris Saint-Germain,2,4,A,0,2,A,14,7,6,5,12,11,3,4,1,3,1,1
F1,1.09.2018,Stade de Reims,Montpellier HSC,0,1,A,0,0,D,21,9,6,3,11,11,5,5,0,0,0,0
F1,1.09.2018,RC Strasbourg Alsace,FC Nantes,2,3,A,1,2,A,10,14,5,5,12,12,1,3,1,2,0,0
F1,2.09.2018,AS Monaco,Olympique de Marseille,2,3,A,0,1,A,8,15,4,5,11,16,1,5,1,1,0,0
F1,2.09.2018,Stade Rennais FC,FC Girondins de Bordeaux,2,0,H,2,0,H,16,8,8,1,12,14,6,5,0,3,0,0
F1,2.09.2018,AS Saint-Étienne,Amiens SC,0,0,D,0,0,D,19,9,5,2,11,12,14,1,3,2,0,0
F1,14.09.2018,OGC Nice,Stade Rennais FC,2,1,H,0,0,D,13,10,4,3,10,19,3,2,4,1,0,0
F1,14.09.2018,Paris Saint-Germain,AS Saint-Étienne,4,0,H,1,0,H,16,11,9,2,12,13,7,4,1,1,0,0
F1,15.09.2018,Amiens SC,LOSC Lille,2,3,A,0,1,A,8,18,4,9,12,21,3,3,1,2,0,0
F1,15.09.2018,Stade Malherbe Caen,Olympique Lyonnais,2,2,D,0,1,A,18,17,4,6,15,13,2,4,1,2,2,0
F1,15.09.2018,Dijon FCO,Angers SCO,1,3,A,1,3,A,11,13,3,6,11,13,4,6,2,2,0,0
F1,15.09.2018,Montpellier HSC,RC Strasbourg Alsace,1,1,D,0,0,D,10,7,3,1,15,14,5,5,1,2,0,0
F1,15.09.2018,Toulouse Football Club,AS Monaco,1,1,D,0,0,D,13,12,6,2,17,17,6,3,2,3,0,0
F1,16.09.2018,FC Girondins de Bordeaux,Nîmes Olympique,3,3,D,1,2,A,15,14,4,5,12,9,8,3,2,0,0,0
F1,16.09.2018,Olympique de Marseille,En Avant de Guingamp,4,0,H,0,0,D,17,2,6,0,7,9,8,1,1,1,0,0
F1,16.09.2018,FC Nantes,Stade de Reims,0,0,D,0,0,D,12,7,6,0,13,12,7,7,3,4,0,0
F1,21.09.2018,AS Monaco,Nîmes Olympique,1,1,D,1,1,D,15,9,4,2,15,15,5,5,1,2,0,0
F1,22.09.2018,Angers SCO,Toulouse Football Club,0,0,D,0,0,D,16,7,4,0,14,14,4,4,1,2,0,0
F1,22.09.2018,LOSC Lille,FC Nantes,2,1,H,1,0,H,11,11,8,4,15,12,4,1,3,4,0,0
F1,22.09.2018,Montpellier HSC,OGC Nice,1,0,H,1,0,H,12,9,5,2,14,11,6,5,3,2,0,0
F1,22.09.2018,Stade de Reims,Dijon FCO,0,0,D,0,0,D,11,6,2,0,15,14,9,3,1,1,0,0
F1,22.09.2018,AS Saint-Étienne,Stade Malherbe Caen,2,1,H,0,1,A,23,9,7,2,3,20,9,6,2,3,0,0
F1,22.09.2018,RC Strasbourg Alsace,Amiens SC,3,1,H,0,1,A,13,8,6,3,16,13,1,1,1,4,0,0
