Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,10.08.2018,PEC Zwolle,SC Heerenveen,2,3,A,1,3,A,18,7,4,3,13,11,5,1,2,5,0,1
N1,11.08.2018,Ajax,Heracles Almelo,1,1,D,0,0,D,17,11,7,2,13,25,12,7,0,3,0,0
N1,11.08.2018,Excelsior,Fortuna Sittard,1,1,D,1,0,H,13,18,3,6,12,11,4,8,3,1,1,0
N1,11.08.2018,PSV,FC Utrecht,4,0,H,1,0,H,14,6,10,2,11,12,9,1,2,2,0,0
N1,11.08.2018,Willem II,VVV-Venlo,0,1,A,0,1,A,15,7,6,1,11,18,13,2,2,2,0,0
N1,12.08.2018,AZ Alkmaar,NAC Breda,5,0,H,3,0,H,29,5,12,4,9,9,14,1,0,2,0,0
N1,12.08.2018,ADO Den Haag,FC Emmen,1,2,A,0,2,A,14,10,5,5,12,20,8,3,2,1,0,0
N1,12.08.2018,De Graafschap,Feyenoord,2,0,H,1,0,H,9,14,5,6,16,15,3,5,2,4,0,2
N1,12.08.2018,Vitesse,FC Groningen,5,1,H,2,1,H,14,11,8,6,15,15,6,1,0,2,0,0
N1,17.08.2018,FC Groningen,Willem II,0,1,A,0,1,A,15,7,4,2,18,11,5,2,1,1,0,0
N1,18.08.2018,Heracles Almelo,ADO Den Haag,4,2,H,3,2,H,17,19,7,7,13,17,5,10,2,4,0,0
N1,18.08.2018,NAC Breda,De Graafschap,3,0,H,1,0,H,7,7,3,2,9,18,3,4,0,2,0,0
N1,18.08.2018,Fortuna Sittard,PSV,1,2,A,0,1,A,10,17,6,8,13,16,5,8,1,1,0,0
N1,18.08.2018,VVV-Venlo,Ajax,0,1,A,0,0,D,9,18,1,9,8,9,5,7,0,1,0,0
N1,19.08.2018,FC Emmen,AZ Alkmaar,1,4,A,1,3,A,14,16,7,8,10,15,6,3,0,1,0,0
N1,19.08.2018,Feyenoord,Excelsior,3,0,H,1,0,H,23,9,6,2,14,8,10,1,0,0,0,0
N1,19.08.2018,SC Heerenveen,Vitesse,1,1,D,1,0,H,7,20,3,4,17,15,1,8,3,2,0,0
N1,19.08.2018,FC Utrecht,PEC Zwolle,2,0,H,2,0,H,7,17,2,4,8,14,6,10,2,1,1,0
N1,24.08.2018,ADO Den Haag,Fortuna Sittard,3,1,H,2,0,H,12,14,6,3,10,13,14,10,5,1,0,0
N1,25.08.2018,Ajax,FC Emmen,5,0,H,2,0,H,22,6,10,2,10,9,11,1,0,1,0,0
N1,25.08.2018,De Graafschap,FC Groningen,0,1,A,0,1,A,10,12,4,3,10,13,7,3,2,3,0,0
N1,25.08.2018,NAC Breda,Excelsior,0,2,A,0,1,A,12,10,3,3,7,13,3,3,3,2,0,0
N1,25.08.2018,PEC Zwolle,PSV,1,2,A,0,1,A,18,15,5,6,11,8,6,6,1,2,0,0
N1,26.08.2018,AZ Alkmaar,Vitesse,0,0,D,0,0,D,18,13,3,3,13,14,6,4,3,3,0,0
N1,26.08.2018,SC Heerenveen,Feyenoord,3,5,A,0,3,A,13,13,5,6,8,8,5,4,0,0,0,0
N1,26.08.2018,FC Utrecht,VVV-Venlo,1,1,D,1,0,H,21,11,4,2,12,10,3,0,1,1,0,0
N1,26.08.2018,Willem II,Heracles Almelo,5,0,H,3,0,H,13,6,7,3,11,14,4,4,2,1,0,0
N1,31.08.2018,FC Emmen,De Graafschap,1,1,D,0,0,D,26,13,11,6,9,12,13,1,1,3,0,0
N1,1.09.2018,Excelsior,ADO Den Haag,2,4,A,0,2,A,13,16,4,7,12,14,4,6,1,3,0,0
N1,1.09.2018,Fortuna Sittard,FC Utrecht,1,1,D,0,0,D,9,14,2,5,13,14,6,6,2,0,0,0
N1,1.09.2018,PSV,Willem II,6,1,H,4,0,H,16,6,10,2,8,11,2,3,0,4,0,0
N1,1.09.2018,VVV-Venlo,SC Heerenveen,1,1,D,0,1,A,19,8,4,4,9,15,4,2,1,1,0,0
N1,2.09.2018,Feyenoord,NAC Breda,4,2,H,1,1,D,20,7,8,4,6,12,14,2,1,1,0,0
N1,2.09.2018,FC Groningen,PEC Zwolle,0,1,A,0,0,D,14,9,2,6,9,19,6,4,3,4,0,0
N1,2.09.2018,Heracles Almelo,AZ Alkmaar,3,2,H,1,1,D,23,17,14,8,16,12,5,2,4,2,0,0
N1,2.09.2018,Vitesse,Ajax,0,4,A,0,3,A,21,16,7,8,14,15,7,5,3,0,0,0
N1,15.09.2018,Ajax,FC Groningen,3,0,H,1,0,H,17,7,5,2,6,16,4,2,2,0,0,0
N1,15.09.2018,ADO Den Haag,PSV,0,7,A,0,2,A,5,27,2,10,14,9,3,5,2,0,0,0
N1,15.09.2018,De Graafschap,VVV-Venlo,1,2,A,0,2,A,14,12,2,6,12,18,6,3,2,2,0,0
N1,15.09.2018,Willem II,Excelsior,2,2,D,0,1,A,21,16,6,4,9,9,13,9,3,3,0,0
