Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,10.08.2018,SL Benfica,Vitória Guimarães,3,2,H,3,0,H,9,9,7,5,15,24,5,2,0,4,0,0
P1,11.08.2018,FC Porto,GD Chaves,5,0,H,3,0,H,14,2,6,0,11,12,7,0,0,2,0,1
P1,11.08.2018,Vitória de Setúbal,CD Aves,2,0,H,1,0,H,13,2,5,1,17,16,9,3,2,3,0,2
P1,11.08.2018,CD Tondela,Os Belenenses,0,1,A,0,0,D,14,6,4,3,15,13,10,5,2,2,1,0
P1,12.08.2018,CD Feirense,Rio Ave FC,2,0,H,2,0,H,12,7,5,1,17,9,3,4,1,2,0,0
P1,12.08.2018,Clube Sport Marítimo,Santa Clara,1,0,H,0,0,D,10,9,4,5,16,9,7,3,0,3,0,0
P1,12.08.2018,Moreirense FC,Sporting CP,1,3,A,1,1,D,3,6,3,4,21,15,6,4,5,5,0,0
P1,12.08.2018,SC Braga,CD Nacional,4,2,H,2,2,D,16,10,12,8,10,15,4,2,1,3,0,0
P1,13.08.2018,Portimonense SC,Boavista FC,0,2,A,0,0,D,8,9,3,4,19,27,9,4,1,4,0,0
P1,17.08.2018,CD Aves,CD Tondela,2,2,D,1,1,D,16,12,6,5,15,13,5,9,3,3,0,0
P1,18.08.2018,Boavista FC,SL Benfica,0,2,A,0,1,A,4,17,1,8,12,21,2,9,4,1,0,0
P1,18.08.2018,GD Chaves,Portimonense SC,2,0,H,2,0,H,12,9,5,2,16,21,2,11,3,4,0,0
P1,18.08.2018,Sporting CP,Vitória de Setúbal,2,1,H,1,1,D,17,9,5,3,20,29,7,3,2,5,0,0
P1,19.08.2018,Os Belenenses,FC Porto,2,3,A,0,1,A,12,16,5,6,17,11,6,5,2,3,0,0
P1,19.08.2018,CD Nacional,Moreirense FC,1,2,A,0,1,A,17,14,8,8,11,24,8,2,0,5,0,0
P1,19.08.2018,Rio Ave FC,Clube Sport Marítimo,3,1,H,2,0,H,13,16,5,4,11,23,4,3,1,3,0,0
P1,19.08.2018,Santa Clara,SC Braga,3,3,D,0,3,A,12,14,8,8,13,8,5,4,2,3,0,0
P1,20.08.2018,Vitória Guimarães,CD Feirense,0,1,A,0,0,D,10,7,3,4,17,21,8,5,1,3,0,0
P1,24.08.2018,Clube Sport Marítimo,GD Chaves,2,1,H,0,1,A,13,10,6,3,12,9,5,2,4,4,0,0
P1,25.08.2018,SL Benfica,Sporting CP,1,1,D,0,0,D,19,11,10,4,14,17,11,1,4,5,0,0
P1,25.08.2018,Portimonense SC,Santa Clara,2,2,D,0,1,A,26,9,11,3,13,23,6,5,0,3,0,0
P1,25.08.2018,FC Porto,Vitória Guimarães,2,3,A,2,0,H,18,8,10,3,16,12,8,3,3,2,0,0
P1,26.08.2018,CD Feirense,Boavista FC,1,1,D,0,1,A,17,7,5,4,15,25,4,1,2,5,0,1
P1,26.08.2018,Vitória de Setúbal,CD Nacional,1,2,A,0,1,A,11,11,4,4,17,26,4,2,4,5,1,0
P1,26.08.2018,SC Braga,CD Aves,3,1,H,0,0,D,20,8,6,4,12,18,9,1,1,4,0,0
P1,26.08.2018,CD Tondela,Rio Ave FC,1,1,D,0,1,A,12,14,5,4,23,6,3,7,2,2,1,0
P1,27.08.2018,Moreirense FC,Os Belenenses,1,1,D,0,0,D,17,9,7,3,22,11,8,1,2,2,0,0
P1,31.08.2018,GD Chaves,SC Braga,0,1,A,0,1,A,17,9,2,3,19,22,9,4,2,5,0,0
P1,31.08.2018,Vitória Guimarães,CD Tondela,1,0,H,1,0,H,6,9,2,3,18,17,2,10,2,1,0,1
P1,1.09.2018,Os Belenenses,Vitória de Setúbal,0,0,D,0,0,D,8,6,4,2,20,13,2,5,0,1,0,0
P1,1.09.2018,Santa Clara,Boavista FC,4,2,H,1,1,D,11,15,5,6,22,19,9,6,4,3,0,0
P1,1.09.2018,Sporting CP,CD Feirense,1,0,H,0,0,D,26,6,12,2,21,15,9,0,4,6,0,0
P1,2.09.2018,CD Aves,Clube Sport Marítimo,0,1,A,0,1,A,12,16,2,3,22,15,4,4,2,3,0,0
P1,2.09.2018,CD Nacional,SL Benfica,0,4,A,0,2,A,5,16,2,7,7,15,2,5,1,3,0,0
P1,2.09.2018,FC Porto,Moreirense FC,3,0,H,2,0,H,15,7,5,3,16,11,11,4,2,1,0,0
P1,2.09.2018,Rio Ave FC,Portimonense SC,2,1,H,0,1,A,22,11,5,4,13,16,8,3,3,2,0,2
P1,21.09.2018,Boavista FC,GD Chaves,1,2,A,0,1,A,19,7,4,3,15,17,10,2,3,4,0,0
P1,22.09.2018,Clube Sport Marítimo,Os Belenenses,0,0,D,0,0,D,10,16,3,5,12,16,7,9,1,1,0,0
P1,22.09.2018,Santa Clara,Rio Ave FC,1,3,A,0,0,D,20,10,8,4,22,12,11,3,2,4,1,1
P1,22.09.2018,Vitória de Setúbal,FC Porto,0,2,A,0,1,A,10,11,2,4,13,16,6,2,1,2,0,0
P1,23.09.2018,SL Benfica,CD Aves,2,0,H,1,0,H,26,12,7,4,15,18,13,3,1,4,0,0
P1,23.09.2018,CD Feirense,CD Nacional,0,0,D,0,0,D,4,10,0,2,14,25,4,3,2,2,0,0
P1,23.09.2018,Portimonense SC,Vitória Guimarães,3,2,H,1,0,H,13,9,6,3,19,12,5,6,2,4,0,0
P1,23.09.2018,CD Tondela,Moreirense FC,2,0,H,1,0,H,9,12,4,0,17,15,0,6,0,0,0,0
P1,24.09.2018,SC Braga,Sporting CP,1,0,H,0,0,D,13,12,4,3,10,11,5,4,1,2,0,0
P1,27.09.2018,GD Chaves,SL Benfica,2,2,D,0,1,A,10,12,5,5,12,21,3,3,3,1,0,1
P1,28.09.2018,FC Porto,CD Tondela,1,0,H,0,0,D,31,7,9,0,19,22,11,2,3,5,0,0
P1,29.09.2018,Moreirense FC,CD Feirense,1,0,H,0,0,D,19,6,5,2,22,16,7,6,1,2,0,0
P1,29.09.2018,Rio Ave FC,Boavista FC,2,1,H,2,0,H,19,15,4,5,16,18,7,9,2,3,0,1
P1,29.09.2018,Sporting CP,Clube Sport Marítimo,2,0,H,2,0,H,12,7,3,1,14,14,4,1,2,3,0,0
P1,30.09.2018,Os Belenenses,SC Braga,0,3,A,0,2,A,8,18,0,8,10,7,6,4,4,0,0,0
P1,30.09.2018,Vitória Guimarães,Vitória de Setúbal,1,1,D,0,0,D,14,15,5,4,15,16,3,3,2,3,0,0
P1,30.09.2018,CD Nacional,Santa Clara,0,3,A,0,1,A,12,12,1,4,7,18,6,10,1,2,0,0
P1,1.10.2018,CD Aves,Portimonense SC,3,0,H,1,0,H,12,17,4,2,12,10,6,5,2,1,0,0
P1,5.10.2018,CD Feirense,Os Belenenses,0,0,D,0,0,D,11,9,1,1,18,17,10,2,3,2,0,0
P1,5.10.2018,Santa Clara,GD Chaves,1,0,H,0,0,D,12,8,4,2,17,9,7,7,2,1,0,0
P1,5.10.2018,CD Tondela,CD Nacional,1,1,D,0,0,D,16,16,3,4,11,10,3,7,1,2,0,0
P1,6.10.2018,Clube Sport Marítimo,Vitória Guimarães,1,3,A,0,1,A,20,15,5,6,15,10,7,6,1,0,0,0
P1,6.10.2018,Vitória de Setúbal,Moreirense FC,3,0,H,1,0,H,12,11,5,3,23,20,3,2,2,3,0,2
P1,6.10.2018,SC Braga,Rio Ave FC,1,1,D,1,1,D,13,8,5,3,26,11,4,7,4,4,1,0
P1,7.10.2018,SL Benfica,FC Porto,1,0,H,0,0,D,10,11,2,1,24,20,2,4,4,5,1,0
P1,7.10.2018,Boavista FC,CD Aves,1,0,H,0,0,D,20,11,5,2,12,23,11,4,3,4,0,0
P1,7.10.2018,Portimonense SC,Sporting CP,4,2,H,2,0,H,12,17,6,5,22,14,5,5,5,1,0,0
P1,26.10.2018,Vitória Guimarães,SC Braga,1,1,D,1,1,D,13,15,4,1,18,12,7,4,1,2,0,0
P1,26.10.2018,CD Nacional,Portimonense SC,0,1,A,0,1,A,8,7,3,2,10,17,1,1,1,1,0,0
P1,27.10.2018,CD Aves,Santa Clara,1,2,A,0,2,A,17,9,6,4,18,15,8,9,2,2,0,1
P1,27.10.2018,Os Belenenses,SL Benfica,2,0,H,2,0,H,7,24,6,7,14,13,5,11,2,2,0,0
P1,27.10.2018,Rio Ave FC,GD Chaves,1,0,H,0,0,D,7,12,5,2,18,23,3,8,3,3,0,0
P1,28.10.2018,Moreirense FC,Clube Sport Marítimo,1,0,H,0,0,D,19,11,5,2,15,11,4,4,1,2,0,0
P1,28.10.2018,FC Porto,CD Feirense,2,0,H,1,0,H,17,6,7,3,21,11,4,6,1,3,0,0
P1,28.10.2018,Sporting CP,Boavista FC,3,0,H,1,0,H,21,10,9,1,12,13,9,4,2,3,0,0
P1,28.10.2018,CD Tondela,Vitória de Setúbal,1,2,A,0,1,A,10,9,6,3,18,24,7,6,3,3,0,0
P1,2.11.2018,SL Benfica,Moreirense FC,1,3,A,1,3,A,21,9,8,4,17,12,8,2,2,3,1,0
P1,3.11.2018,Boavista FC,Vitória Guimarães,0,0,D,0,0,D,7,20,3,4,25,13,7,11,3,4,0,0
P1,3.11.2018,Clube Sport Marítimo,FC Porto,0,2,A,0,0,D,6,15,2,4,16,15,4,11,4,2,1,0
P1,3.11.2018,Portimonense SC,Os Belenenses,1,1,D,0,0,D,12,8,3,1,19,10,1,6,2,3,0,0
P1,4.11.2018,CD Feirense,CD Tondela,2,4,A,1,1,D,12,15,5,7,17,22,7,5,4,3,0,0
P1,4.11.2018,Santa Clara,Sporting CP,1,2,A,1,0,H,8,18,1,7,10,7,3,7,2,3,1,0
P1,4.11.2018,SC Braga,Vitória de Setúbal,2,1,H,2,1,H,17,13,3,5,18,20,2,5,1,3,0,0
P1,5.11.2018,GD Chaves,CD Aves,1,2,A,0,1,A,13,11,2,5,10,15,6,4,3,3,0,0
