Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
T1,10.08.2018,MKE Ankaragücü,Galatasaray SK,1,3,A,1,2,A,3,12,1,4,15,9,2,4,2,2,0,0
T1,11.08.2018,Fenerbahçe SK,Bursaspor,2,1,H,2,1,H,7,6,2,3,12,15,4,4,3,3,0,0
T1,11.08.2018,Çaykur Rizespor,Kasimpaþa SK,2,3,A,1,0,H,8,14,5,6,13,14,3,6,2,1,0,0
T1,11.08.2018,Sivasspor,Alanyaspor,1,0,H,0,0,D,12,9,5,3,13,16,4,7,1,3,0,0
T1,12.08.2018,Beþiktaþ JK,Akhisar Belediyespor,2,1,H,2,0,H,13,8,4,4,17,16,12,3,3,6,0,0
T1,12.08.2018,Medipol Baþakþehir FK,Trabzonspor,2,0,H,1,0,H,15,8,5,0,16,15,9,2,2,2,0,0
T1,12.08.2018,Göztepe SK,Yeni Malatyaspor,1,3,A,0,1,A,10,6,4,3,11,11,4,0,4,5,2,1
T1,12.08.2018,Atiker Konyaspor,BB Erzurumspor,3,2,H,2,1,H,16,6,9,4,11,14,4,7,1,2,0,0
T1,13.08.2018,Kayserispor,Antalyaspor,2,0,H,1,0,H,8,4,5,1,16,8,6,2,0,2,0,1
T1,17.08.2018,Trabzonspor,Sivasspor,3,1,H,3,1,H,10,12,8,3,12,19,8,5,1,4,0,0
T1,18.08.2018,Antalyaspor,Atiker Konyaspor,3,3,D,1,2,A,12,10,9,4,17,19,7,3,1,5,0,1
T1,18.08.2018,Bursaspor,Kayserispor,0,0,D,0,0,D,9,4,2,0,11,12,6,4,2,2,0,0
T1,18.08.2018,Yeni Malatyaspor,Fenerbahçe SK,1,0,H,0,0,D,14,13,2,4,14,9,2,3,2,0,0,0
T1,19.08.2018,Akhisar Belediyespor,Çaykur Rizespor,1,1,D,0,1,A,8,24,3,10,18,14,4,3,0,1,1,0
T1,19.08.2018,Alanyaspor,MKE Ankaragücü,0,2,A,0,0,D,19,5,5,4,19,15,6,2,3,6,1,1
T1,19.08.2018,BB Erzurumspor,Beþiktaþ JK,1,3,A,1,0,H,10,10,3,6,11,7,9,9,0,3,0,0
T1,19.08.2018,Galatasaray SK,Göztepe SK,1,0,H,1,0,H,11,9,5,2,13,14,6,6,4,2,0,0
T1,20.08.2018,Kasimpaþa SK,Medipol Baþakþehir FK,2,1,H,0,0,D,13,15,3,5,18,16,5,2,0,3,0,0
T1,24.08.2018,Çaykur Rizespor,BB Erzurumspor,0,0,D,0,0,D,9,11,2,3,9,20,4,7,1,1,0,0
T1,25.08.2018,MKE Ankaragücü,Trabzonspor,2,2,D,1,1,D,15,9,6,7,11,12,5,9,2,2,0,0
T1,25.08.2018,Göztepe SK,Fenerbahçe SK,1,0,H,0,0,D,5,9,1,1,16,16,4,5,2,1,0,0
T1,25.08.2018,Kayserispor,Yeni Malatyaspor,0,0,D,0,0,D,13,6,5,2,15,13,4,6,2,1,0,0
T1,26.08.2018,Beþiktaþ JK,Antalyaspor,2,3,A,1,3,A,28,7,10,5,15,19,12,1,2,7,0,0
T1,26.08.2018,Atiker Konyaspor,Bursaspor,1,1,D,1,1,D,16,12,6,4,18,14,11,6,2,3,0,0
T1,26.08.2018,Sivasspor,Kasimpaþa SK,0,3,A,0,1,A,31,9,3,6,8,9,7,2,0,3,0,0
T1,27.08.2018,Medipol Baþakþehir FK,Akhisar Belediyespor,3,1,H,1,1,D,19,9,6,2,9,14,6,2,2,4,0,0
T1,27.08.2018,Galatasaray SK,Alanyaspor,6,0,H,1,0,H,17,4,9,1,12,7,4,1,0,1,0,0
T1,31.08.2018,Yeni Malatyaspor,Atiker Konyaspor,0,1,A,0,1,A,11,6,3,4,9,23,3,1,2,4,0,0
T1,1.09.2018,Akhisar Belediyespor,Sivasspor,1,1,D,0,0,D,22,11,6,4,19,17,5,1,1,3,0,0
T1,1.09.2018,Alanyaspor,Göztepe SK,1,0,H,0,0,D,9,10,2,2,16,12,5,8,2,2,0,0
T1,1.09.2018,Fenerbahçe SK,Kayserispor,2,3,A,1,0,H,15,20,4,11,11,12,4,4,4,2,0,1
T1,1.09.2018,Trabzonspor,Galatasaray SK,4,0,H,3,0,H,13,8,6,0,11,7,1,1,2,1,0,1
T1,2.09.2018,Antalyaspor,Çaykur Rizespor,2,1,H,0,1,A,13,6,4,2,12,13,5,5,3,3,1,1
T1,2.09.2018,Bursaspor,Beþiktaþ JK,1,1,D,0,0,D,9,11,3,4,14,15,4,3,2,2,0,0
T1,2.09.2018,BB Erzurumspor,Medipol Baþakþehir FK,0,1,A,0,1,A,16,5,3,2,13,11,8,2,3,1,0,0
T1,2.09.2018,Kasimpaþa SK,MKE Ankaragücü,2,1,H,1,0,H,10,15,4,7,8,11,5,6,1,3,0,0
T1,14.09.2018,Galatasaray SK,Kasimpaþa SK,4,1,H,0,0,D,15,16,5,6,11,14,4,7,1,2,0,0
T1,15.09.2018,MKE Ankaragücü,Akhisar Belediyespor,1,0,H,1,0,H,7,12,1,4,19,11,2,12,2,3,0,0
T1,15.09.2018,Beþiktaþ JK,Yeni Malatyaspor,2,1,H,0,0,D,17,10,6,6,14,15,10,5,3,3,1,0
T1,15.09.2018,Göztepe SK,Kayserispor,2,0,H,2,0,H,16,9,6,1,11,10,4,1,1,2,0,0
T1,16.09.2018,Medipol Baþakþehir FK,Antalyaspor,4,0,H,1,0,H,15,8,6,3,11,8,4,2,0,2,0,0
T1,16.09.2018,Atiker Konyaspor,Fenerbahçe SK,0,1,A,0,0,D,15,10,6,2,10,11,6,6,3,1,0,0
T1,16.09.2018,Çaykur Rizespor,Bursaspor,1,1,D,0,1,A,12,9,5,4,25,19,3,3,0,2,0,0
T1,16.09.2018,Sivasspor,BB Erzurumspor,2,2,D,1,1,D,20,11,7,5,12,10,3,2,0,2,0,0
T1,17.09.2018,Alanyaspor,Trabzonspor,1,0,H,1,0,H,16,11,7,5,19,9,4,6,1,2,0,0
T1,21.09.2018,Bursaspor,Medipol Baþakþehir FK,0,0,D,0,0,D,13,7,4,1,10,14,1,4,1,4,0,0
T1,21.09.2018,BB Erzurumspor,MKE Ankaragücü,0,1,A,0,0,D,25,3,8,1,14,8,12,2,3,2,0,1
