,short_name,age,height_cm,weight_kg,club,wage_eur,pace,shooting,passing,dribbling,defending,gk_diving,gk_handling,gk_kicking,gk_speed,gk_positioning
0,Cristiano Ronaldo,33,187,83,Juventus,405000,90,93,81,89,35,,,,,
1,L. Messi,31,170,72,FC Barcelona,565000,88,91,88,96,32,,,,,
2,Neymar Jr,26,175,68,Paris Saint-Germain,290000,92,84,83,95,32,,,,,
3,De Gea,27,193,76,Manchester United,260000,,,,,,90,85,87,58,88
4,K. De Bruyne,27,181,70,Manchester City,355000,77,86,92,87,60,,,,,
5,Sergio Ramos,32,184,82,Real Madrid,380000,75,63,71,71,91,,,,,
6,L. SuÃ¡rez,31,182,86,FC Barcelona,455000,80,90,79,88,52,,,,,
7,L. ModriÄ,32,172,66,Real Madrid,420000,76,76,90,91,70,,,,,
8,E. Hazard,27,173,74,Chelsea,340000,91,82,86,94,35,,,,,
9,J. Oblak,25,188,87,Atl�tico Madrid,94000,,,,,,86,92,78,52,88
10,T. Courtois,26,199,96,Real Madrid,250000,,,,,,87,91,74,49,87
11,M. Neuer,32,193,92,FC Bayern Munich,135000,,,,,,91,88,91,57,88
12,D. GodÃ­n,32,187,78,Atl�tico Madrid,125000,68,48,65,62,89,,,,,
13,T. Kroos,28,183,76,Real Madrid,355000,67,82,89,82,74,,,,,
14,R. Lewandowski,29,184,80,FC Bayern Munich,205000,78,89,75,85,41,,,,,
15,P. Dybala,24,177,75,Juventus,205000,85,85,84,91,28,,,,,
16,M. ter Stegen,26,187,85,FC Barcelona,240000,,,,,,87,85,88,45,85
17,Isco,26,176,79,Real Madrid,325000,72,81,85,93,61,,,,,
18,H. Kane,24,188,89,Tottenham Hotspur,205000,70,90,79,80,47,,,,,
19,A. Griezmann,27,176,73,Atl�tico Madrid,145000,86,86,81,89,50,,,,,
20,N. KantÃ©,27,168,68,Chelsea,225000,80,66,77,81,87,,,,,
21,G. Chiellini,33,187,85,Juventus,215000,69,46,56,58,91,,,,,
22,S. AgÃ¼ero,30,173,70,Manchester City,300000,84,89,76,89,28,,,,,
23,David Silva,32,173,67,Manchester City,275000,66,74,87,90,50,,,,,
24,M. Hummels,29,191,92,FC Bayern Munich,165000,65,58,76,72,90,,,,,
25,E. Cavani,31,185,77,Paris Saint-Germain,200000,76,87,72,80,52,,,,,
26,C. Eriksen,26,181,76,Tottenham Hotspur,205000,74,82,89,86,53,,,,,
27,P. Pogba,25,192,84,Manchester United,255000,75,79,86,85,69,,,,,
28,Casemiro,26,185,84,Real Madrid,285000,62,69,75,72,87,,,,,
29,Coutinho,26,172,68,FC Barcelona,340000,81,81,86,91,45,,,,,
30,J. RodrÃ­guez,26,181,78,FC Bayern Munich,315000,72,86,88,86,50,,,,,
31,M. Salah,26,175,71,Liverpool,255000,92,84,79,89,45,,,,,
32,G. Buffon,40,192,92,Paris Saint-Germain,77000,,,,,,88,87,74,46,90
33,S. HandanoviÄ,33,193,92,Inter,110000,,,,,,87,86,69,53,89
34,Thiago Silva,33,183,82,Paris Saint-Germain,165000,71,54,73,69,88,,,,,
35,G. HiguaÃ­n,30,186,89,Milan,245000,73,87,70,83,31,,,,,
36,H. Lloris,31,188,82,Tottenham Hotspur,150000,,,,,,88,84,68,63,83
37,G. Bale,28,185,81,Real Madrid,355000,95,88,84,85,58,,,,,
38,Marcelo,30,174,80,Real Madrid,285000,82,71,83,90,81,,,,,
39,Sergio Busquets,29,189,76,FC Barcelona,300000,43,62,79,78,85,,,,,
40,L. Insigne,27,163,59,Napoli,165000,90,76,84,91,36,,,,,
41,K. MbappÃ©,19,178,73,Paris Saint-Germain,83000,96,81,79,89,39,,,,,
42,S. Umtiti,24,182,75,FC Barcelona,205000,72,64,71,72,88,,,,,
43,K. Koulibaly,27,187,89,Napoli,115000,72,26,46,59,88,,,,,
44,M. Icardi,25,181,75,Inter,130000,78,85,61,79,36,,,,,
45,R. Lukaku,25,190,94,Manchester United,230000,84,84,76,75,35,,,,,
46,PiquÃ©,31,194,85,FC Barcelona,240000,55,61,69,65,87,,,,,
47,I. RakitiÄ,30,184,78,FC Barcelona,260000,62,84,87,82,72,,,,,
48,M. HamÅ¡Ã­k,30,183,79,Napoli,125000,68,80,84,84,72,,,,,
