,short_name,age,height_cm,weight_kg,club,wage_eur,pace,shooting,passing,dribbling,defending
0,Cristiano Ronaldo,33,187,83,Juventus,405000,90.0,93.0,81.0,89.0,35.0
1,L. Messi,31,170,72,FC Barcelona,565000,88.0,91.0,88.0,96.0,32.0
2,Neymar Jr,26,175,68,Paris Saint-Germain,290000,92.0,84.0,83.0,95.0,32.0
3,De Gea,27,193,76,Manchester United,260000,,,,,
4,K. De Bruyne,27,181,70,Manchester City,355000,77.0,86.0,92.0,87.0,60.0
5,Sergio Ramos,32,184,82,Real Madrid,380000,75.0,63.0,71.0,71.0,91.0
6,L. SuÃÂ¡rez,31,182,86,FC Barcelona,455000,80.0,90.0,79.0,88.0,52.0
7,L. ModriÃÂ,32,172,66,Real Madrid,420000,76.0,76.0,90.0,91.0,70.0
8,E. Hazard,27,173,74,Chelsea,340000,91.0,82.0,86.0,94.0,35.0
9,J. Oblak,25,188,87,Atlético Madrid,94000,,,,,
10,T. Courtois,26,199,96,Real Madrid,250000,,,,,
11,M. Neuer,32,193,92,FC Bayern Munich,135000,,,,,
12,D. GodÃÂ­n,32,187,78,Atlético Madrid,125000,68.0,48.0,65.0,62.0,89.0
13,T. Kroos,28,183,76,Real Madrid,355000,67.0,82.0,89.0,82.0,74.0
14,R. Lewandowski,29,184,80,FC Bayern Munich,205000,78.0,89.0,75.0,85.0,41.0
15,P. Dybala,24,177,75,Juventus,205000,85.0,85.0,84.0,91.0,28.0
16,M. ter Stegen,26,187,85,FC Barcelona,240000,,,,,
17,Isco,26,176,79,Real Madrid,325000,72.0,81.0,85.0,93.0,61.0
18,H. Kane,24,188,89,Tottenham Hotspur,205000,70.0,90.0,79.0,80.0,47.0
19,A. Griezmann,27,176,73,Atlético Madrid,145000,86.0,86.0,81.0,89.0,50.0
20,N. KantÃÂ©,27,168,68,Chelsea,225000,80.0,66.0,77.0,81.0,87.0
21,G. Chiellini,33,187,85,Juventus,215000,69.0,46.0,56.0,58.0,91.0
22,S. AgÃÂ¼ero,30,173,70,Manchester City,300000,84.0,89.0,76.0,89.0,28.0
23,David Silva,32,173,67,Manchester City,275000,66.0,74.0,87.0,90.0,50.0
24,M. Hummels,29,191,92,FC Bayern Munich,165000,65.0,58.0,76.0,72.0,90.0
25,E. Cavani,31,185,77,Paris Saint-Germain,200000,76.0,87.0,72.0,80.0,52.0
26,C. Eriksen,26,181,76,Tottenham Hotspur,205000,74.0,82.0,89.0,86.0,53.0
27,P. Pogba,25,192,84,Manchester United,255000,75.0,79.0,86.0,85.0,69.0
28,Casemiro,26,185,84,Real Madrid,285000,62.0,69.0,75.0,72.0,87.0
29,Coutinho,26,172,68,FC Barcelona,340000,81.0,81.0,86.0,91.0,45.0
30,J. RodrÃÂ­guez,26,181,78,FC Bayern Munich,315000,72.0,86.0,88.0,86.0,50.0
31,M. Salah,26,175,71,Liverpool,255000,92.0,84.0,79.0,89.0,45.0
32,G. Buffon,40,192,92,Paris Saint-Germain,77000,,,,,
33,S. HandanoviÃÂ,33,193,92,Inter,110000,,,,,
34,Thiago Silva,33,183,82,Paris Saint-Germain,165000,71.0,54.0,73.0,69.0,88.0
35,G. HiguaÃÂ­n,30,186,89,Milan,245000,73.0,87.0,70.0,83.0,31.0
36,H. Lloris,31,188,82,Tottenham Hotspur,150000,,,,,
37,G. Bale,28,185,81,Real Madrid,355000,95.0,88.0,84.0,85.0,58.0
38,Marcelo,30,174,80,Real Madrid,285000,82.0,71.0,83.0,90.0,81.0
39,Sergio Busquets,29,189,76,FC Barcelona,300000,43.0,62.0,79.0,78.0,85.0
40,L. Insigne,27,163,59,Napoli,165000,90.0,76.0,84.0,91.0,36.0
41,K. MbappÃÂ©,19,178,73,Paris Saint-Germain,83000,96.0,81.0,79.0,89.0,39.0
42,S. Umtiti,24,182,75,FC Barcelona,205000,72.0,64.0,71.0,72.0,88.0
43,K. Koulibaly,27,187,89,Napoli,115000,72.0,26.0,46.0,59.0,88.0
44,M. Icardi,25,181,75,Inter,130000,78.0,85.0,61.0,79.0,36.0
45,R. Lukaku,25,190,94,Manchester United,230000,84.0,84.0,76.0,75.0,35.0
46,PiquÃÂ©,31,194,85,FC Barcelona,240000,55.0,61.0,69.0,65.0,87.0
47,I. RakitiÃÂ,30,184,78,FC Barcelona,260000,62.0,84.0,87.0,82.0,72.0
