,HomeTeam,AwayTeam,FTHG,FTAG,FTR
0,Standard de Liège,KAA Gent,3,2,H
1,KV Kortrijk,RSC Anderlecht,1,4,A
2,KV Oostende,Royal Excel Mouscron,2,1,H
3,Sint-Truidense VV,KSV Cercle Brugge,0,0,D
4,SV Zulte-Waregem,Waasland-Beveren,2,2,D
5,Sporting de Charleroi,Royal Antwerp FC,0,1,A
6,Club Brugge KV,KAS Eupen,5,2,H
7,Sporting Lokeren,KRC Genk,0,4,A
8,Waasland-Beveren,Standard de Liège,0,0,D
9,Royal Antwerp FC,KV Kortrijk,0,0,D
10,KSV Cercle Brugge,Sporting Lokeren,3,2,H
11,KAS Eupen,Sporting de Charleroi,1,4,A
12,KAA Gent,SV Zulte-Waregem,1,1,D
13,RSC Anderlecht,KV Oostende,5,2,H
14,KRC Genk,Sint-Truidense VV,1,1,D
15,Royal Excel Mouscron,Club Brugge KV,0,1,A
16,Club Brugge KV,KV Kortrijk,3,0,H
17,Royal Excel Mouscron,Royal Antwerp FC,0,1,A
18,Sint-Truidense VV,Sporting Lokeren,1,1,D
19,Standard de Liège,KSV Cercle Brugge,0,0,D
20,SV Zulte-Waregem,KAS Eupen,4,0,H
21,Sporting de Charleroi,RSC Anderlecht,1,2,A
22,KAA Gent,Waasland-Beveren,4,1,H
23,KV Oostende,KRC Genk,0,2,A
24,RSC Anderlecht,Royal Excel Mouscron,2,0,H
25,KSV Cercle Brugge,SV Zulte-Waregem,3,1,H
26,KV Kortrijk,KV Oostende,1,2,A
27,Sporting Lokeren,Standard de Liège,0,3,A
28,Waasland-Beveren,Sint-Truidense VV,2,2,D
29,Royal Antwerp FC,Club Brugge KV,1,1,D
30,KAS Eupen,KAA Gent,2,3,A
31,KRC Genk,Sporting de Charleroi,3,1,H
32,KV Oostende,SV Zulte-Waregem,3,1,H
33,Royal Antwerp FC,KSV Cercle Brugge,1,0,H
34,Sporting de Charleroi,KV Kortrijk,0,2,A
35,Royal Excel Mouscron,KAS Eupen,0,1,A
36,Standard de Liège,Sint-Truidense VV,3,2,H
37,Club Brugge KV,RSC Anderlecht,2,1,H
38,KRC Genk,Waasland-Beveren,3,2,H
39,KAA Gent,Sporting Lokeren,2,1,H
40,SV Zulte-Waregem,Club Brugge KV,2,5,A
41,Sporting de Charleroi,Royal Excel Mouscron,3,1,H
42,KAS Eupen,Standard de Liège,2,1,H
43,Sporting Lokeren,Waasland-Beveren,1,0,H
44,Sint-Truidense VV,KV Oostende,1,0,H
45,RSC Anderlecht,Royal Antwerp FC,1,1,D
46,KSV Cercle Brugge,KAA Gent,0,3,A
47,KV Kortrijk,KRC Genk,3,3,D
48,Club Brugge KV,Sporting Lokeren,2,1,H
49,KRC Genk,RSC Anderlecht,1,0,H
50,KV Oostende,KSV Cercle Brugge,1,1,D
51,Standard de Liège,Sporting de Charleroi,0,0,D
52,Waasland-Beveren,KAS Eupen,0,0,D
53,Royal Antwerp FC,SV Zulte-Waregem,5,1,H
54,KAA Gent,Sint-Truidense VV,1,2,A
55,Royal Excel Mouscron,KV Kortrijk,1,0,H
56,SV Zulte-Waregem,KV Kortrijk,0,2,A
57,KAS Eupen,KV Oostende,1,2,A
58,Sporting Lokeren,Royal Excel Mouscron,0,0,D
59,Sint-Truidense VV,Royal Antwerp FC,2,0,H
60,Waasland-Beveren,Sporting de Charleroi,1,1,D
61,RSC Anderlecht,Standard de Liège,2,1,H
62,KSV Cercle Brugge,KRC Genk,2,5,A
63,KAA Gent,Club Brugge KV,0,4,A
64,KV Kortrijk,KAS Eupen,1,3,A
65,Sporting de Charleroi,Sporting Lokeren,2,1,H
66,Club Brugge KV,KSV Cercle Brugge,4,0,H
67,KRC Genk,SV Zulte-Waregem,4,0,H
