,short_name,age,height_cm,weight_kg,club,wage_eur,pace,shooting,passing,dribbling,defending,gk_diving,gk_handling,gk_kicking,gk_speed,gk_positioning
0,Cristiano Ronaldo,32,185,80,Real Madrid,565000,90,93,82,90,33,,,,,
1,L. Messi,30,170,72,FC Barcelona,565000,89,90,86,96,26,,,,,
2,Neymar,25,175,68,Paris Saint-Germain,280000,92,84,79,95,30,,,,,
3,M. Neuer,31,193,92,FC Bayern Munich,230000,,,,,,91,90,95,60,91
4,L. SuÃ¡rez,30,182,86,FC Barcelona,510000,82,90,79,87,42,,,,,
5,R. Lewandowski,28,185,79,FC Bayern Munich,355000,81,88,75,86,38,,,,,
6,De Gea,26,193,76,Manchester United,215000,,,,,,90,85,87,58,86
7,E. Hazard,26,173,76,Chelsea,295000,90,82,84,92,32,,,,,
8,Sergio Ramos,31,183,75,Real Madrid,310000,76,63,71,71,88,,,,,
9,G. HiguaÃ­n,29,184,87,Juventus,275000,79,87,70,83,25,,,,,
10,T. Kroos,27,182,78,Real Madrid,340000,56,81,89,81,73,,,,,
11,T. Courtois,25,199,94,Chelsea,190000,,,,,,85,91,69,49,86
12,K. De Bruyne,26,181,68,Manchester City,285000,75,84,88,85,45,,,,,
13,G. Buffon,39,191,94,Juventus,110000,,,,,,89,88,74,46,90
14,G. Chiellini,32,187,85,Juventus,225000,74,46,56,59,90,,,,,
15,S. AgÃ¼ero,29,173,70,Manchester City,325000,87,88,75,89,23,,,,,
16,G. Bale,27,183,74,Real Madrid,370000,94,87,84,86,57,,,,,
17,L. ModriÄ,31,174,65,Real Madrid,340000,73,75,86,89,72,,,,,
18,A. SÃ¡nchez,28,169,62,Arsenal,265000,86,84,80,89,40,,,,,
19,J. Oblak,24,189,82,Atlético Madrid,82000,,,,,,84,90,77,52,87
20,P. Dybala,23,177,73,Juventus,215000,86,85,81,91,24,,,,,
21,A. Griezmann,26,174,72,Atlético Madrid,150000,86,85,78,87,30,,,,,
22,Thiago,26,174,70,FC Bayern Munich,225000,72,75,85,90,62,,,,,
23,A. Robben,33,180,80,FC Bayern Munich,225000,86,86,81,91,32,,,,,
24,Z. IbrahimoviÄ,35,195,95,Manchester United,240000,65,88,81,82,32,,,,,
25,Thiago Silva,32,183,79,Paris Saint-Germain,175000,72,56,73,73,89,,,,,
26,H. Lloris,30,188,82,Tottenham Hotspur,165000,,,,,,88,86,68,64,82
